DATE,A261RX1Q020SBEA,AMDMTI,AMDMVS,AMTMUO,BOPTEXP,BOPTIMP,BUSINV,CPIAUCSL,CPILFESL,DGORDER,DSPIC96,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,GDPC1,HOUST,HSN1F,I42IMSM144SCEN,INDPRO,IQ,IR,JTSJOL,NPPTTL,PAYEMS,PCEC96,PCEPI,PCEPILFE,PERMIT,PPIFIS,RSAFS,TCU,TTLCONS,ULCNFB,UMCSENT,UNRATE
1926-04-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1926-05-01,,,,,,,,,,,,,,,,,,-0.82685,,,,,,,,,,,,,,,,
1926-06-01,,,,,,,,,,,,,,,,,,1.25062,,,,,,,,,,,,,,,,
1926-07-01,,,,,,,,,,,,,,,,,,0.41172,,,,,,,,,,,,,,,,
1926-08-01,,,,,,,,,,,,,,,,,,1.22858,,,,,,,,,,,,,,,,
1926-09-01,,,,,,,,,,,,,,,,,,1.62024,,,,,,,,,,,,,,,,
1926-10-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1926-11-01,,,,,,,,,,,,,,,,,,-0.3986,,,,,,,,,,,,,,,,
1926-12-01,,,,,,,,,,,,,,,,,,-0.4002,,,,,,,,,,,,,,,,
1927-01-01,,,,,,,,,,,,,,,,,,-0.4018,,,,,,,,,,,,,,,,
1927-02-01,,,,,,,,,,,,,,,,,,0.80685,,,,,,,,,,,,,,,,
1927-03-01,,,,,,,,,,,,,,,,,,1.1991,,,,,,,,,,,,,,,,
1927-04-01,,,,,,,,,,,,,,,,,,-2.37126,,,,,,,,,,,,,,,,
1927-05-01,,,,,,,,,,,,,,,,,,0.81012,,,,,,,,,,,,,,,,
1927-06-01,,,,,,,,,,,,,,,,,,-0.4018,,,,,,,,,,,,,,,,
1927-07-01,,,,,,,,,,,,,,,,,,-1.21028,,,,,,,,,,,,,,,,
1927-08-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1927-09-01,,,,,,,,,,,,,,,,,,-1.63195,,,,,,,,,,,,,,,,
1927-10-01,,,,,,,,,,,,,,,,,,-2.07417,,,,,,,,,,,,,,,,
1927-11-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1927-12-01,,,,,,,,,,,,,,,,,,0.42394,,,,,,,,,,,,,,,,
1928-01-01,,,,,,,,,,,,,,,,,,2.10916,,,,,,,,,,,,,,,,
1928-02-01,,,,,,,,,,,,,,,,,,0.82685,,,,,,,,,,,,,,,,
1928-03-01,,,,,,,,,,,,,,,,,,0.81855,,,,,,,,,,,,,,,,
1928-04-01,,,,,,,,,,,,,,,,,,-0.40671,,,,,,,,,,,,,,,,
1928-05-01,,,,,,,,,,,,,,,,,,1.2251,,,,,,,,,,,,,,,,
1928-06-01,,,,,,,,,,,,,,,,,,0.80685,,,,,,,,,,,,,,,,
1928-07-01,,,,,,,,,,,,,,,,,,1.1991,,,,,,,,,,,,,,,,
1928-08-01,,,,,,,,,,,,,,,,,,1.97727,,,,,,,,,,,,,,,,
1928-09-01,,,,,,,,,,,,,,,,,,0.77413,,,,,,,,,,,,,,,,
1928-10-01,,,,,,,,,,,,,,,,,,1.92404,,,,,,,,,,,,,,,,
1928-11-01,,,,,,,,,,,,,,,,,,1.88632,,,,,,,,,,,,,,,,
1928-12-01,,,,,,,,,,,,,,,,,,1.85139,,,,,,,,,,,,,,,,
1929-01-01,,,,,,,,,,,,,,,,,,1.45527,,,,,,,,,,,,,,,,
1929-02-01,,,,,,,,,,,,,,,,,,-0.3586,,,,,,,,,,,,,,,,
1929-03-01,,,,,,,,,,,,,,,,,,0.35989,,,,,,,,,,,,,,,,
1929-04-01,,,,,,,,,,,,,,,,,,1.79167,,,,,,,,,,,,,,,,
1929-05-01,,,,,,,,,,,,,,,,,,1.76144,,,,,,,,,,,,,,,,
1929-06-01,,,,,,,,,,,,,,,,,,0.69109,,,,,,,,,,,,,,,,
1929-07-01,,,,,,,,,,,,,,,,,,1.37526,,,,,,,,,,,,,,,,
1929-08-01,,,,,,,,,,,,,,,,,,-1.01745,,,,,,,,,,,,,,,,
1929-09-01,,,,,,,,,,,,,,,,,,-0.684,,,,,,,,,,,,,,,,
1929-10-01,,,,,,,,,,,,,,,,,,-1.72498,,,,,,,,,,,,,,,,
1929-11-01,,,,,,,,,,,,,,,,,,-4.91211,,,,,,,,,,,,,,,,
1929-12-01,,,,,,,,,,,,,,,,,,-4.42749,,,,,,,,,,,,,,,,
1930-01-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1930-02-01,,,,,,,,,,,,,,,,,,-0.38629,,,,,,,,,,,,,,,,
1930-03-01,,,,,,,,,,,,,,,,,,-1.55115,,,,,,,,,,,,,,,,
1930-04-01,,,,,,,,,,,,,,,,,,-0.78633,,,,,,,,,,,,,,,,
1930-05-01,,,,,,,,,,,,,,,,,,-1.58807,,,,,,,,,,,,,,,,
1930-06-01,,,,,,,,,,,,,,,,,,-2.82248,,,,,,,,,,,,,,,,
1930-07-01,,,,,,,,,,,,,,,,,,-4.56503,,,,,,,,,,,,,,,,
1930-08-01,,,,,,,,,,,,,,,,,,-2.17339,,,,,,,,,,,,,,,,
1930-09-01,,,,,,,,,,,,,,,,,,-1.77701,,,,,,,,,,,,,,,,
1930-10-01,,,,,,,,,,,,,,,,,,-2.71626,,,,,,,,,,,,,,,,
1930-11-01,,,,,,,,,,,,,,,,,,-2.32502,,,,,,,,,,,,,,,,
1930-12-01,,,,,,,,,,,,,,,,,,-2.38036,,,,,,,,,,,,,,,,
1931-01-01,,,,,,,,,,,,,,,,,,-0.48804,,,,,,,,,,,,,,,,
1931-02-01,,,,,,,,,,,,,,,,,,0.49044,,,,,,,,,,,,,,,,
1931-03-01,,,,,,,,,,,,,,,,,,1.95036,,,,,,,,,,,,,,,,
1931-04-01,,,,,,,,,,,,,,,,,,0.47871,,,,,,,,,,,,,,,,
1931-05-01,,,,,,,,,,,,,,,,,,-1.42751,,,,,,,,,,,,,,,,
1931-06-01,,,,,,,,,,,,,,,,,,-2.41663,,,,,,,,,,,,,,,,
1931-07-01,,,,,,,,,,,,,,,,,,-1.48405,,,,,,,,,,,,,,,,
1931-08-01,,,,,,,,,,,,,,,,,,-3.5193,,,,,,,,,,,,,,,,
1931-09-01,,,,,,,,,,,,,,,,,,-4.68599,,,,,,,,,,,,,,,,
1931-10-01,,,,,,,,,,,,,,,,,,-3.82497,,,,,,,,,,,,,,,,
1931-11-01,,,,,,,,,,,,,,,,,,-1.13692,,,,,,,,,,,,,,,,
1931-12-01,,,,,,,,,,,,,,,,,,-0.575,,,,,,,,,,,,,,,,
1932-01-01,,,,,,,,,,,,,,,,,,-2.88945,,,,,,,,,,,,,,,,
1932-02-01,,,,,,,,,,,,,,,,,,-2.38211,,,,,,,,,,,,,,,,
1932-03-01,,,,,,,,,,,,,,,,,,-1.22012,,,,,,,,,,,,,,,,
1932-04-01,,,,,,,,,,,,,,,,,,-6.78896,,,,,,,,,,,,,,,,
1932-05-01,,,,,,,,,,,,,,,,,,-3.31043,,,,,,,,,,,,,,,,
1932-06-01,,,,,,,,,,,,,,,,,,-3.42632,,,,,,,,,,,,,,,,
1932-07-01,,,,,,,,,,,,,,,,,,-2.83566,,,,,,,,,,,,,,,,
1932-08-01,,,,,,,,,,,,,,,,,,2.91842,,,,,,,,,,,,,,,,
1932-09-01,,,,,,,,,,,,,,,,,,6.38354,,,,,,,,,,,,,,,,
1932-10-01,,,,,,,,,,,,,,,,,,3.33251,,,,,,,,,,,,,,,,
1932-11-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1932-12-01,,,,,,,,,,,,,,,,,,-1.93406,,,,,,,,,,,,,,,,
1933-01-01,,,,,,,,,,,,,,,,,,-1.97465,,,,,,,,,,,,,,,,
1933-02-01,,,,,,,,,,,,,,,,,,0.67148,,,,,,,,,,,,,,,,
1933-03-01,,,,,,,,,,,,,,,,,,-6.0005,,,,,,,,,,,,,,,,
1933-04-01,,,,,,,,,,,,,,,,,,7.09312,,,,,,,,,,,,,,,,
1933-05-01,,,,,,,,,,,,,,,,,,16.55706,,,,,,,,,,,,,,,,
1933-06-01,,,,,,,,,,,,,,,,,,15.33991,,,,,,,,,,,,,,,,
1933-07-01,,,,,,,,,,,,,,,,,,9.35874,,,,,,,,,,,,,,,,
1933-08-01,,,,,,,,,,,,,,,,,,-4.05274,,,,,,,,,,,,,,,,
1933-09-01,,,,,,,,,,,,,,,,,,-5.63481,,,,,,,,,,,,,,,,
1933-10-01,,,,,,,,,,,,,,,,,,-4.97391,,,,,,,,,,,,,,,,
1933-11-01,,,,,,,,,,,,,,,,,,-5.76002,,,,,,,,,,,,,,,,
1933-12-01,,,,,,,,,,,,,,,,,,0.55583,,,,,,,,,,,,,,,,
1934-01-01,,,,,,,,,,,,,,,,,,3.3145,,,,,,,,,,,,,,,,
1934-02-01,,,,,,,,,,,,,,,,,,4.81324,,,,,,,,,,,,,,,,
1934-03-01,,,,,,,,,,,,,,,,,,4.5922,,,,,,,,,,,,,,,,
1934-04-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1934-05-01,,,,,,,,,,,,,,,,,,1.95036,,,,,,,,,,,,,,,,
1934-06-01,,,,,,,,,,,,,,,,,,-1.91305,,,,,,,,,,,,,,,,
1934-07-01,,,,,,,,,,,,,,,,,,-6.82899,,,,,,,,,,,,,,,,
1934-08-01,,,,,,,,,,,,,,,,,,-1.04763,,,,,,,,,,,,,,,,
1934-09-01,,,,,,,,,,,,,,,,,,-5.821,,,,,,,,,,,,,,,,
1934-10-01,,,,,,,,,,,,,,,,,,4.49455,,,,,,,,,,,,,,,,
1934-11-01,,,,,,,,,,,,,,,,,,1.07581,,,,,,,,,,,,,,,,
1934-12-01,,,,,,,,,,,,,,,,,,6.38218,,,,,,,,,,,,,,,,
1935-01-01,,,,,,,,,,,,,,,,,,8.0003,,,,,,,,,,,,,,,,
1935-02-01,,,,,,,,,,,,,,,,,,1.85278,,,,,,,,,,,,,,,,
1935-03-01,,,,,,,,,,,,,,,,,,-0.45477,,,,,,,,,,,,,,,,
1935-04-01,,,,,,,,,,,,,,,,,,-1.82738,,,,,,,,,,,,,,,,
1935-05-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1935-06-01,,,,,,,,,,,,,,,,,,1.39605,,,,,,,,,,,,,,,,
1935-07-01,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
1935-08-01,,,,,,,,,,,,,,,,,,3.66983,,,,,,,,,,,,,,,,
1935-09-01,,,,,,,,,,,,,,,,,,2.65453,,,,,,,,,,,,,,,,
1935-10-01,,,,,,,,,,,,,,,,,,3.01714,,,,,,,,,,,,,,,,
1935-11-01,,,,,,,,,,,,,,,,,,2.09309,,,,,,,,,,,,,,,,
